language,English,German,French,Italian,Spanish
$NGC_MCNoSpaceContinue,There is not enough free space on the Memory Card in Slot A. To save Finest Hour you need at least 1 file and 2 blocks. ,Es befindet sich nicht genügend freier Platz auf der Memory Card in Steckplatz A. Finest Hour benötigt zum Speichern 1 Datei und 2 Blöcke.,Il n'y a pas assez d'espace libre sur la Memory Card (carte mémoire) dans le Slot A. Call of Duty: Le jour de gloire nécessite 1 fichier et 2 blocs pour être sauvegardé. ,Lo spazio libero nella Memory Card (Scheda Memoria) nello Slot A è insufficiente. Per salvare L'ora degli Eroi sono necessari 1 file e 2 blocchi.,No hay suficiente espacio libre en la Memory Card (tarjeta de memoria) de la Ranura A. Para guardar datos de Finest Hour se requiere 1 archivo y 2 bloques.
$NGC_MCOK,OK,OK,OK,OK,ACEPTAR
$NGC_MCOverwriteContinue,Overwrite the save file in Slot A?,Datei in Steckplatz A überschreiben?,Ecraser le fichier de sauvegarde du Slot A ?,Sovrascrivere il file di salvataggio nello Slot A?,¿Sobrescribir el archivo guardado de la Ranura A?
$NGC_MCOverwriteFailed,Overwrite failed! Check Memory Card in Slot A ,Überschreiben gescheitert. Überprüfen Sie die Memory Card in Steckplatz A.,Echec de l'écrasement ! Vérifiez la Memory Card (carte mémoire) du Slot A.,Sovrascrittura fallita! Controllare la Memory Card (Scheda Memoria) nello Slot A.,¡Error al sobrescribir! Comprueba la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCOverwriteFailedContinue,Overwrite failed! Memory Card in Slot A Continue without save ,Überschreiben gescheitert. Überprüfen Sie die Memory Card in Steckplatz A. Ohne Speichern fortfahren.,Echec de l'écrasement ! Vérifiez la Memory Card (carte mémoire) du Slot A. Continuer sans sauvegarder.,Sovrascrittura fallita! Controllare la Memory Card (Scheda Memoria) nello Slot A. Prosegui senza salvare,¡Error al sobrescribir! Comprueba la Memory Card (tarjeta de memoria) de la Ranura A. Continuar sin guardar
$NGC_MCOverwriteNewContinue,Overwrite the save file in Slot A?,Datei in Steckplatz A überschreiben?,Ecraser le fichier de sauvegarde du Slot A ?,Sovrascrivere il file di salvataggio nello Slot A?,¿Sobrescribir el archivo guardado de la Ranura A?
$NGC_MCOverwriteOK,Overwrite successful.,Überschreiben erfolgreich.,Ecrasement terminé.,Sovrascrittura completata.,Éxito al sobrescribir.
$NGC_MCOverwriting,Overwriting data. Do not touch the Memory Card in Slot A or the POWER Button.,Überschreibt Daten. Bitte entfernen Sie nicht die Memory Card und betätigen Sie nicht den POWER-Schalter.,Ecrasement des données en cours. Ne touchez pas à la Memory Card (carte mémoire) ni au bouton POWER.,Sovrascrittura dati. Non toccare la Memory Card (Scheda Memoria) o il pulsante POWER.,Sobrescribiendo datos. No toques ni la Memory Card (tarjeta de memoria) de la Ranura A ni el Botón POWER.
$NGC_MCRetry,Retry,Wiederholen,Réessayer,Riprova,Reintentar
$NGC_MCSaveCorrupt,The Finest Hour file on Memory Card in Slot A is corrupted. This file needs to be deleted.,Die Finest Hour-Datei auf der Memory Card in Steckplatz A ist fehlerhaft. Die Datei muss gelöscht werden.,Le fichier de Call of Duty: Le jour de gloire sur la Memory Card (carte mémoire) dans le Slot A est corrompu. Ce fichier a besoin d'être effacé.,I dati di gioco di L'ora degli Eroi che vuoi caricare dalla Memory Card (Scheda Memoria) nello Slot A sono danneggiati e devono essere cancellati.,El archivo Finest Hour de la Memory Card (tarjeta de memoria) de la Ranura A está dañado. Hay que borrar este archivo.
$NGC_MCSaveFailed,Save failed! Check Memory Card in Slot A ,Speichern gescheitert! Überprüfen Sie die Memory Card in Steckplatz A.,Echec de la sauvegarde ! Vérifiez la Memory Card (carte mémoire) du Slot A.,Salvataggio fallito! Controllare la Memory Card (Scheda Memoria) nello Slot A.,¡Error al guardar! Comprueba la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCSaveFailedContinue,Save failed! Check Memory Card in Slot A ,Speichern gescheitert! Überprüfen Sie die Memory Card in Steckplatz A.,Echec de la sauvegarde ! Vérifiez la Memory Card (carte mémoire) du Slot A.,Salvataggio fallito! Controllare la Memory Card (Scheda Memoria) nello Slot A.,¡Error al guardar! Comprueba la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCSaveOK,Save successful.,Speichern erfolgreich.,Sauvegarde terminée.,Salvataggio completato.,Éxito al guardar.
$NGC_MCSaving,Saving to the Memory Card in Slot A. Do not touch the Memory Card in Slot A or the POWER Button.,Speichern auf Memory Card in Steckplatz A erfolgt. Bitte entfernen Sie nicht die Memory Card und betätigen Sie nicht den POWER-Schalter.,Sauvegarde en cours. Ne touchez pas à la Memory Card (carte mémoire) dans le Slot A ni au bouton POWER.,Salvataggio sulla Memory Card (Scheda Memoria) nello Slot A. Non toccare la Memory Card (Scheda Memoria) o il pulsante POWER.,Guardando en la Memory Card (tarjeta de memoria) de la Ranura A. No toques ni la Memory Card (tarjeta de memoria) de la Ranura A ni el Botón POWER.
$NGC_MCUnformatted,The Memory Card in Slot A is corrupted and needs to be formatted. Do you want to format?,Die Memory Card in Steckplatz A ist fehlerhaft und muss formatiert werden. Soll sie jetzt formatiert werden?,La Memory Card (carte mémoire) dans le Slot A contient des données corrompues et a besoin d'être formatée. Voulez-vous la formater ?,La Memory Card (Scheda Memoria) nello Slot A contiene dati danneggiati e deve essere formattata. Vuoi formattare?,La Memory Card (tarjeta de memoria) de la Ranura A contiene datos dañados y hay que formatearla. ¿Quieres formatear?
$NGC_MCUnknownDevice,Wrong device in Slot A. Please insert a Memory Card.,Das Objekt in Steckplatz A wird nicht als Memory Card anerkannt. Bitte stecken Sie eine Memory Card ein.,L'objet inséré dans le Slot A n'est pas valide. Remplacez-le par une Memory Card (carte mémoire).,L'oggetto presente nello Slot A non è idoneo. Inserisci una Memory Card (Scheda Memoria) idonea.,Dispositivo erróneo en Ranura A. Inserta una Memory Card (tarjeta de memoria).
$NGC_MCWrongVersion,Save file is wrong version. Overwrite?,Datei hat die falsche Version. Überschreiben?,Mauvaise version du fichier de sauvegarde. Voulez-vous l'écraser ?,La versione del file di salvataggio è sbagliata. Vuoi sovrascrivere?,El archivo guardado es de otra versión. ¿Sobrescribir?
$NGC_MCYes,Yes,Ja,Oui,Sì,Sí
$NGC_NoControllerText,,,,,
$NGC_NoControllerTitle,,,,,
$NGC_ProgressiveTest,,,,,
$NGC_ProgressiveTestCancel,,,,,
$NGC_ProgressiveTestOK,,,,,
$NGC_ProgressiveWarning,,,,,
$NGC_VibrationSet,Rumble:,Rumble:,Vibration :,Rumble:,Vibración:
$NGC_YankControllerText,,,,,
$NGC_YankControllerTitle,,,,,
